fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,AMAN030999,AMAN030999,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,DILE6071,DILE6071,20,1,0,0
AFWO3422,AFWO3422,DILE6072,DILE6072,20,1,0,0
AFWO3422,AFWO3422,DILE6074,DILE6074,20,1,0,0
AFWO3422,AFWO3422,DILE6076,DILE6076,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,DILE6078,DILE6078,1.40354186044101,0.244,0.756,0
AFWO3422,AFWO3422,DILE6079,DILE6079,3.09541956507868,0.766,0.234,0
AFWO3422,AFWO3422,DILE6081,DILE6081,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,DILE6082,DILE6082,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,DILE6083,DILE6083,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,DILE6084,DILE6084,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,DILE6085,DILE6085,20,1,0,0
AFWO3422,AFWO3422,DILE6086,DILE6086,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,DILE6087,DILE6087,20,1,0,0
AFWO3422,AFWO3422,DILE6090,DILE6090,20,1,0,0
AFWO3422,AFWO3422,DILE6091,DILE6091,20,1,0,0
AFWO3422,AFWO3422,DILE6092,DILE6092,20,1,0,0
AFWO3422,AFWO3422,DILE6093,DILE6093,20,1,0,0
AFWO3422,AFWO3422,DILE6094,DILE6094,1.12186323337305,0.081,0.919,0
AFWO3422,AFWO3422,DILE6095,DILE6095,2.21424022557299,0.569,0.431,0
